Longitude,Latitude,1/11/2020,1/23/2020,2/4/2020,2/16/2020,2/28/2020,3/11/2020,3/23/2020,4/4/2020,4/16/2020,4/28/2020,5/10/2020,5/22/2020,6/3/2020,6/15/2020,6/27/2020,7/9/2020,7/21/2020,8/2/2020,8/14/2020,8/26/2020,9/7/2020,9/19/2020,10/1/2020,10/13/2020,10/25/2020,11/6/2020,11/18/2020,11/30/2020,12/12/2020,12/24/2020,1/5/2021,1/17/2021,1/29/2021,2/10/2021,2/22/2021,3/6/2021,3/18/2021,3/30/2021,4/11/2021,4/23/2021,5/17/2021,5/29/2021,6/10/2021,6/22/2021,7/4/20212,7/16/2021,7/28/2021,8/21/2021,9/2/2021,9/14/2021,10/8/2021,10/20/2021,11/1/2021,11/13/2021,11/25/2021,12/7/2021,12/19/2021,12/31/2021,1/12/2022,1/24/2022,2/5/2022,2/17/2022,3/1/2022,3/13/2022,3/25/2022,4/16/2022,4/18/2022,4/30/2022,5/24/2022,6/17/2022,6/29/2022,7/11/2022,7/23/2022,8/4/2022,8/16/2022,8/28/2022,9/9/2022,10/3/2022,10/15/2022,10/27/2022,11/8/2022,11/20/2022,12/2/2022,12/14/2022,12/26/2022
137.1779327,-4.090443611,-2.078324,3.863241,-2.414944,7.152952,0.1295396,-6.648979,5.033184,-1.019416,-1.891705,3.776906,0.8683612,2.647198,1.845931,-4.685976,5.622277,-2.309859,-3.072386,1.789737,-13.69206,0.875545,-0.2083318,-4.511215,-6.023766,-0.4022149,6.258128,0.9728181,-4.613146,4.630236,-2.334681,-3.329982,0.1807027,2.671142,3.104311,3.136316,-3.450316,9.462818,0.05342494,-0.9415474,0.6260042,-10.90388,2.17096,-2.045094,-2.612011,0,-5.971016,-0.0461291,1.844763,3.058233,-3.01492,4.997828,-2.633603,-4.897381,0.7231715,0.2032622,1.486505,3.320135,-3.463231,8.218941,-0.6992372,-4.662674,-0.9143471,-13.61728,2.071913,-2.38126,-3.919797,-2.454002,-1.833117,4.202906,1.08734,-4.426456,4.383809,-1.974085,-1.084933,-0.1626965,0.384196,2.61618,2.649185,-1.879658,7.359426,-0.7453781,-0.7960343,1.534247,-9.590183,1.421294,-1.785992
137.176239,-4.090378761,-2.417138,5.682155,4.033937,7.234381,-0.08916318,0.6456703,6.187052,-1.489587,-4.907005,9.579413,1.613614,0.6964182,1.560037,-6.701518,11.74335,3.972161,1.235507,0.8540902,0.3976126,-1.792491,7.732517,-1.969662,4.370025,2.311764,5.953352,-0.948894,-5.727772,3.37216,-4.327199,-5.455992,1.435291,1.323111,2.006389,5.101035,-0.5507343,9.552481,1.428832,2.595321,-0.9230909,-0.03370585,2.71012,9.150079,1.435148,0,4.168952,3.391459,4.909275,-0.3633859,-7.660402,4.109208,-3.494345,-6.573462,1.472157,1.274936,1.122814,3.883222,-2.056125,10.83962,8.326317,0.396166,-1.051058,3.48934,0.287513,7.423257,-0.5731555,-3.394665,1.261528,5.373096,-0.488041,-7.098965,3.712171,-3.639843,-3.475226,6.037747,0.837748,2.497098,1.371103,-1.028946,13.15746,6.978058,2.241891,-1.345819,3.212684,-1.379414,6.455193
137.1885986,-4.090353966,-1.368377,2.538426,2.104743,-8.453979,3.464894,-4.181863,4.652426,2.509717,-0.5876445,2.149464,-0.329642,0.8147572,1.055613,-6.261895,4.459805,-1.146651,-0.7441103,4.496143,-0.05081384,-2.407541,-1.928836,1.663038,0.2963623,2.718944,-9.223895,4.350179,-4.849097,3.544473,4.215263,0.7037674,1.240383,-0.3245057,-2.436655,0.7064371,-1.232016,6.09462,1.76733,3.493816,3.271715,1.426961,0.007240173,-2.081022,2.381461,0,1.507856,2.641135,-6.117389,3.951997,-3.569907,3.108231,5.297674,-1.170267,2.25271,-1.412943,-0.6758801,-0.6821888,-0.7363973,2.723334,0.3862656,0.5849118,1.99165,-0.9709712,0.04354745,-2.471077,0.3492924,2.458404,3.032185,-5.427642,3.444183,-4.098029,1.592545,5.939006,1.400212,1.773065,0.1497326,-0.3457695,-0.2358056,-2.152183,2.027755,-1.788336,1.302058,2.042866,-0.03254453,2.112104,-1.004718
137.1770935,-4.090349197,-3.247132,3.988822,-1.112243,1.484484,-2.499643,0.6957865,4.885336,0.293581,0.04018912,2.670752,-4.395711,3.440029,2.005207,-9.811257,6.895571,-1.44886,-3.47385,3.241951,-1.451124,4.523457,-4.073756,-0.1512729,1.979441,-0.4602377,3.503867,-2.689655,0.3616192,4.246966,-0.8753412,1.692486,1.580882,-4.23144,3.182848,5.449708,-6.065616,5.184631,1.400205,-3.911987,2.615007,-0.6541408,7.694026,-3.270316,-1.639359,0,3.404195,0.929775,2.200075,-1.848549,-1.863013,6.921545,-0.3061619,0.5597613,1.46162,-3.366762,3.591466,3.516661,-4.603177,3.421891,0.8060907,-7.297019,1.860504,-2.595915,7.304764,-3.673086,-1.607053,2.681762,-0.3865243,-0.9019808,-2.63418,0.6978688,4.584073,-0.7635471,0.8049909,1.296473,-2.179731,1.023262,0.7677926,-5.559708,1.953248,0.5605722,-3.229939,3.427984,-2.271836,7.086966,-3.763137
137.1834106,-4.090325832,2.831419,4.619425,-2.160515,-1.318482,1.125282,-8.553455,1.926389,-3.367655,-2.806253,2.799592,-2.065227,6.599596,0.8037617,-8.553836,4.917942,-2.411061,-2.192473,1.57864,-1.241621,2.048404,3.467151,-2.850693,7.207574,-1.124284,-2.629869,-0.2322393,-15.71075,1.738727,-2.020169,-3.978995,-5.911886,-1.689339,5.8062,1.242259,-4.016761,5.535661,-1.532066,-3.529708,-0.2950305,5.018353,3.856884,3.734625,0.06770977,0,8.902634,0.2219832,0.08562445,0.3331501,-19.17897,5.252598,-2.198818,-2.744381,-6.770017,-1.033016,5.062906,-0.4103965,-3.545664,5.482811,-0.3200968,-7.827839,-2.76423,2.016491,2.958279,3.050767,-3.688772,7.48887,-1.604753,0.1072575,0.2397492,-16.49635,1.81617,-1.850726,-1.883427,-4.146925,-0.3158331,2.618198,-0.4779045,-3.376525,3.008682,-0.1806449,-3.570723,1.088851,1.281503,1.990344,2.216384
137.1869507,-4.090310097,-2.997762,6.818577,2.793453,-0.08024779,-1.608349,0.2553352,0.8915101,9.780475,-0.7521412,6.294626,4.628924,7.124203,-0.3672919,-6.527591,5.900563,-4.41498,-6.048031,4.053926,2.800342,1.111859,2.689457,-0.9493691,9.364657,0.643865,2.194967,-1.401584,2.745227,1.359706,9.521136,-1.498788,6.767235,3.244148,5.734578,1.127692,-7.656375,4.03065,-2.219924,-5.559085,1.340955,3.032156,1.260306,-1.170261,-5.086328,0,9.188561,1.48365,2.835328,-1.096891,3.331189,4.984727,7.160989,-0.1863428,1.854347,1.66412,6.060984,-0.8733953,-8.398376,5.214338,-2.396931,-7.682769,-0.3021752,2.619862,2.903955,-2.76798,-2.121253,8.289693,5.187613,1.479946,-1.506207,4.123788,-1.199466,8.028951,1.197526,1.850861,2.024738,3.461153,0.008298815,-7.490994,2.747998,-2.246702,-5.684615,5.286968,1.064339,2.766188,2.11623
137.1907349,-4.090265751,-3.488845,3.221349,-0.5062203,0.2183711,5.347185,-0.5841634,6.197402,-3.895401,-0.06085548,2.512309,0.73582,-8.817747,5.000346,-7.292618,4.463813,3.991643,-1.173051,2.489691,-0.4529152,3.200044,-1.992547,0.2888054,4.138702,1.386189,-0.08651444,3.553444,-0.433776,4.014501,-1.992781,2.445824,0.9844843,3.848238,-6.500835,5.727193,-3.608605,3.66259,4.810961,-0.6429903,1.68232,4.758062,-3.438498,1.318472,-2.115259,0,5.07644,1.282061,5.301683,2.961335,-0.2017639,-1.349282,-2.265719,3.70011,0.2965407,2.929832,-8.198092,3.318952,-3.606151,2.862976,3.872715,-1.599482,0.9240872,-0.0127146,0.7134268,-1.036739,-1.22556,2.723684,0.1784752,3.795217,2.938535,-1.989075,-2.094484,-1.618079,1.710443,-0.3224596,5.092616,-8.694593,3.118797,-2.390638,1.544129,3.795753,0.260441,2.702851,0.4342467,0.5811939,1.284711
137.1795959,-4.089813709,-5.992681,3.002474,-0.2813302,-2.893476,7.20417,-0.3212246,7.114941,-4.277821,-2.559406,2.819795,-1.187342,3.047839,-2.810158,-4.319279,5.834932,-0.4582217,-0.232798,1.945174,-4.017094,2.305526,6.734234,-5.333096,5.801857,0.7306738,-3.579345,3.693876,-2.090751,7.042971,-4.788334,-0.1736708,2.232481,-0.8041955,3.630067,-0.3326666,-3.135983,5.156918,-0.3344512,1.368555,1.693895,-0.6354697,3.980601,3.12151,-6.578178,0,4.390612,1.13323,-4.280822,2.284477,-2.024784,7.261122,-3.044252,-1.887429,2.854233,-0.8617221,4.435913,-1.158627,-1.035279,6.626277,-1.510805,-1.397529,0.739551,-3.173567,2.833852,1.365022,-4.649133,2.588186,-0.5091571,-1.712547,5.522403,-3.014038,6.847571,-3.417648,-0.6750469,3.685236,0.8226364,3.688141,-0.8852955,1.568652,4.170459,-2.238323,3.424807,1.868968,-3.162667,0.6497101,-0.485743
137.1779327,-4.089746952,-5.96771,4.257998,-1.675,-3.061823,2.845952,-2.255166,2.956381,-0.134447,1.643932,2.548557,-2.223602,-2.034392,0.09785973,-17.51646,2.795087,-2.740025,-2.659897,-4.66349,-1.289246,6.012805,2.320207,-3.747587,3.893884,-2.047835,-1.986081,-0.1248085,-0.9751408,3.706509,2.485649,-2.465106,8.290602,-2.79178,0.5191082,1.487885,-17.23406,2.678627,-2.240059,-3.895102,-5.786529,0.8406393,5.519855,2.709172,-4.872337,0,5.111429,-2.159179,-2.370711,-1.199583,1.523191,5.134459,3.719926,-1.440349,7.65947,-0.767341,-1.108848,-0.1045282,-19.9238,2.951341,-1.022992,-5.376501,-4.311609,-0.9040467,4.162931,1.675068,-3.513764,1.169342,1.257566,-1.995343,0.1925375,0.8392648,3.283445,2.894895,-1.81965,8.918948,-0.3609692,-2.295314,0.4475161,-18.54079,1.90215,-0.9603617,-3.786316,-3.851027,-1.719973,2.740931,1.309447
137.1771698,-4.089721203,-1.462092,0.2586069,-3.453445,-5.646666,9.610032,1.962664,1.579642,-2.274205,-2.052218,3.896733,4.692636,0.01765759,-2.35097,-1.962159,1.388938,6.079133,-0.5913898,2.857392,2.328555,5.451874,0.3753468,-5.589115,3.366098,-2.545358,-6.174116,2.43435,2.126175,1.427996,8.205466,-0.6092795,9.092462,5.778045,2.689356,-0.4866794,3.589022,2.218472,8.315524,-0.09877048,4.62473,6.993546,6.321299,-0.03121016,-6.852915,0,3.8556,-1.895422,-5.349242,1.830916,1.721729,-2.214857,-2.208535,-6.702629,13.00542,4.525808,2.651046,-0.8632174,4.093277,1.107627,12.34778,-0.6734942,2.232116,0.6985205,5.448609,-1.261065,-8.807001,0.5784453,-3.700699,-4.907192,1.286727,0.4597848,2.104008,0.2054173,-1.350513,10.76563,3.34505,0.7547411,-1.295771,5.289926,-0.2513871,10.64562,0.1913038,3.117915,1.908534,4.540227,0.1610403
