Longitude,Latitude,Date,Deformation_Value
137.1760712,-4.079640388,19-Dec-21,0.3993356
137.1760712,-4.079640388,31-Dec-21,-2.567358
137.1760712,-4.079640388,12-Jan-22,5.21671
137.1760712,-4.079640388,24-Jan-22,-0.2052553
137.1760712,-4.079640388,5-Feb-22,-2.430696
137.1760712,-4.079640388,17-Feb-22,-0.4742021
137.1760712,-4.079640388,1-Mar-22,-0.162747
137.1760712,-4.079640388,13-Mar-22,3.336708
137.1760712,-4.079640388,25-Mar-22,2.662236
137.1760712,-4.079640388,16-Apr-22,-3.741634
137.1760712,-4.079640388,18-Apr-22,8.717285
137.1760712,-4.079640388,30-Apr-22,-0.6398432
137.1760712,-4.079640388,24-May-22,-1.884898
137.1760712,-4.079640388,17-Jun-22,0.5891038
137.1760712,-4.079640388,29-Jun-22,-15.05163
137.1760712,-4.079640388,11-Jul-22,0.8016223
137.1760712,-4.079640388,23-Jul-22,-2.09102
137.1760712,-4.079640388,4-Aug-22,-3.118045
137.1760712,-4.079640388,16-Aug-22,-5.120693
137.1760712,-4.079640388,28-Aug-22,-1.152352
137.1760712,-4.079640388,9-Sep-22,3.124426
137.1760712,-4.079640388,3-Oct-22,1.781838
137.1760712,-4.079640388,15-Oct-22,-2.217124
137.1760712,-4.079640388,27-Oct-22,2.30929
137.1760712,-4.079640388,8-Nov-22,3.511744
137.1760712,-4.079640388,20-Nov-22,-2.067873
137.1760712,-4.079640388,2-Dec-22,0.8671497
137.1760712,-4.079640388,14-Dec-22,0.02061862
137.1760712,-4.079640388,26-Dec-22,2.505305
137.1760712,-4.079640388,04-Jul-20212,0.711942
137.1760864,-4.084970951,11-Jan-20,4.058496
137.1760864,-4.084970951,23-Jan-20,4.09709
137.1760864,-4.084970951,4-Feb-20,-3.850502
137.1760864,-4.084970951,16-Feb-20,-2.480863
137.1760864,-4.084970951,28-Feb-20,0.1383308
137.1760864,-4.084970951,11-Mar-20,-3.095308
137.1760864,-4.084970951,23-Mar-20,-6.18814
137.1760864,-4.084970951,4-Apr-20,8.499749
137.1760864,-4.084970951,16-Apr-20,2.083826
137.1760864,-4.084970951,28-Apr-20,0.8223093
137.1760864,-4.084970951,10-May-20,3.252488
137.1760864,-4.084970951,22-May-20,-1.61708
137.1760864,-4.084970951,3-Jun-20,9.156317
137.1760864,-4.084970951,15-Jun-20,6.424899
137.1760864,-4.084970951,27-Jun-20,0.8370236
137.1760864,-4.084970951,9-Jul-20,-1.747216
137.1760864,-4.084970951,21-Jul-20,2.747327
137.1760864,-4.084970951,2-Aug-20,-1.51857
137.1760864,-4.084970951,14-Aug-20,9.115579
137.1760864,-4.084970951,26-Aug-20,-0.9819903
137.1760864,-4.084970951,7-Sep-20,6.337066
137.1760864,-4.084970951,19-Sep-20,3.527323
